0
15
240
3.9K
62K
 1
16
270
4.3K
68K
 1.1
18
300
4.7K
75K
 1.2
20
330
5.1K
82K
 1.3
22
360
5.6K
91K
 1.5
24
390
6.2K
100K
 1.6
27
430
6.8K
110K
 1.8
30
470
7.5K
120K
 2
33
510
8.2K
130k
 2.2
36
560
9.1K
150K
 2.4
39
620
10K
160k
2.7
43
680
11K
180K
3
47
750
12K
200K
3.3
51
820
13K
220K
3.6
56
910
15K
240K
3.9
62
1K
16K
270K
4.3
68
1.1K
18K
300K
4.7
75
1.2K
20K
330K
5.1
82
1.3K
22K
360K
5.6
91
1.5K
24K
390K
6.2
100
1.6K
27K
430K
6.8
110
1.8K
30K
470K
7.5
120
2K
33K
510K
8.2
130
2.2K
36K
560K
9.1
150
2.4K
39K
620K
10
160
2.7K
43K
680K
11
180
3K
47K
750K
12
200
3.3K
51K
820K
13
220
3.6K
56K
910K
