OVCB[2]
PWRB[2]
VD18
PWRB[3]
OVCB[3]
VSS
OVCB[4]
PWRBB[4]
VD_PLL
VS_PLL
XOUT
XIN
VD33
DM4
DP4
VSS
DM3
DP3
VD33
DM2
DP2
VSS
DM1
DP1
VS_A
VREG18
VD3_IN
REXT
VD18
DMU
DPU
VD33
VSS
XRSTJ
VBUSM
BUS_B
DIS_REG
VD5_IN
VD33_OUT
TEST
VD33
DRV
LED[1]
LED[2]
LED[3]
LED[4]
PWRB[1]
OVCB[1]
