MDI[0]+
MDI[0]−
FB10
MDI[1]+
MDI[1]−
AVDD33
GND
MDI[2]+
MDI[2]−
AVDD10
MDI[3]+
MDI[3]−
RXCTL
RXD[0]
DVDD33
RXD[1]/TXDLY
RXD[2]/AN0
RXD[3]/AN1
RXC
GND
DVDD33
TXC
TXD[0]
TXD[1]
TXD[2]
TXD[3]
TXCTL
DVDD10
PHYRSTB
MDC
MDIO
CLK125
GND
PHY_AD0/LED_Duplex/LED0
PHY_AD1/LED_1000/LED1
DVDD10
DVDD33
RXDLY/LED_10/LED2
ENSWREG
AVDD10
AVDD33
CKXTAL1
CKXTAL2
VDDREG
VDDREG
RSET
GND
REG_OUT
