RST
ADC/TOUT
EN
GPIO16/WAKE
GPIO14/HSPICLK
GPIO12/HSPIQ
GPIO13/HSPID/CTS0/RXD2
VDD
SPI_MOSI/SD_CMD
SPI_MISO/SD_DO
GPIO9/SD_D2
GPIO10/SPI_CS/SD_D3
SPI_INT/SD_D1
SPI_CLK/SD_CLK
GND
GPIO15/HSPICS/RTS0/TXD2
GPIO2/TXD1
GPIO0/SPICS2
GPIO4
GPIO5
GPIO3/RXDO
GPIO1/SPICS1/TXDO
