DCD
RI
GND
D+
D-
VDD
REGIN
VBUS
RST
NC
SUSPEND
SUSPEND
NC
NC
NC
NC
NC
NC
NC
NC
NC
NC
CTS
RTS
RXD
TXD
DSR
DTR
GND
