D2P
G_D2
D2N
D1P
G_D1
D1N
D0P
G_D0
D0N
CLKP
G_CLK
CLKN
CEC
NC
SCL
SDA
G_DDC/CEC
+5V
HOT_PLUG_DET
SHIELD1
SHIELD2
SHIELD3
SHIELD4
