3.3V1
5.0V1
SDA
5.0V2
SCL
GND3
IO-GCLK
TXD0
GND1
RXD0
IO-0
IO-1
IO-2
GND4
IO-3
IO-4
3.3V2
IO-5
SPI-MOSI
GND5
SPI-MISO
IO-6
SPI-CLK
SPI-CE0
GND2
SPI-CE1
ID-SD
ID-SC
IO-7
GND6
IO-8
IO-9
IO-10
GND8
IO-12
IO-13
IO-14
IO-15
GND7
IO-16
